Latitude (decimal degrees):	51.028
Longitude (decimal degrees):	7.563
Elevation (m):	254
Radiation database:	PVGIS-SARAH3


Slope: 35 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230706:1310,503.06,630.17,56.03,19.25,3.1,0.0
20230706:1410,457.16,572.32,48.57,19.55,2.9,0.0
20230706:1510,419.64,526.25,39.76,19.76,2.69,0.0
20230706:1610,293.49,378.51,30.42,19.74,2.48,0.0
20230706:1710,127.22,198.19,21.03,19.62,2.21,0.0
20230706:1810,30.51,52.47,11.97,19.02,1.52,0.0
20230706:1910,5.39,16.61,3.58,17.9,0.83,0.0
20230706:2010,0.0,0.0,0.0,15.81,1.17,0.0
20230706:2110,0.0,0.0,0.0,13.9,1.66,0.0
20230706:2210,0.0,0.0,0.0,12.76,2.0,0.0
20230706:2310,0.0,0.0,0.0,11.91,2.07,0.0
20230707:0010,0.0,0.0,0.0,11.45,2.21,0.0
20230707:0110,0.0,0.0,0.0,11.38,2.28,0.0
20230707:0210,0.0,0.0,0.0,11.35,2.41,0.0
20230707:0310,0.0,0.0,0.0,11.3,2.48,0.0
20230707:0410,11.35,25.36,5.28,11.42,2.48,0.0
20230707:0510,24.38,51.44,13.85,12.93,2.21,0.0
20230707:0610,171.79,249.7,23.01,16.19,1.86,0.0
20230707:0710,371.17,472.15,32.42,18.84,2.41,0.0
20230707:0810,542.35,686.72,41.7,20.73,2.48,0.0
20230707:0910,664.91,858.03,50.29,22.24,2.62,0.0
20230707:1010,756.02,996.11,57.28,23.19,2.62,0.0
20230707:1110,797.62,1064.43,61.21,23.95,2.62,0.0
20230707:1210,783.59,1050.96,60.7,24.62,2.41,0.0
20230707:1310,729.24,972.72,55.96,25.2,2.28,0.0
20230707:1410,635.4,836.27,48.51,25.61,2.21,0.0
20230707:1510,500.21,650.86,39.71,25.83,2.21,0.0
20230707:1610,309.24,412.88,30.37,25.81,2.14,0.0
20230707:1710,123.16,201.38,20.98,25.5,1.79,0.0
20230707:1810,42.92,69.96,11.92,24.46,1.24,0.0
20230707:1910,5.21,16.61,3.51,23.23,2.21,0.0
20230707:2010,0.0,0.0,0.0,20.74,2.69,0.0
20230707:2110,0.0,0.0,0.0,19.85,2.97,0.0
20230707:2210,0.0,0.0,0.0,19.49,3.1,0.0
20230707:2310,0.0,0.0,0.0,19.16,3.24,0.0
20230708:0010,0.0,0.0,0.0,18.95,3.24,0.0
20230708:0110,0.0,0.0,0.0,18.97,3.24,0.0
20230708:0210,0.0,0.0,0.0,18.74,3.24,0.0
20230708:0310,0.0,0.0,0.0,18.56,3.24,0.0
20230708:0410,11.5,26.23,5.17,18.38,3.24,0.0
20230708:0510,45.02,71.11,13.75,19.02,3.17,0.0
20230708:0610,159.57,227.21,22.91,20.85,2.97,0.0
20230708:0710,349.8,451.17,32.32,22.78,3.24,0.0
20230708:0810,482.82,614.28,41.59,24.4,3.72,0.0
20230708:0910,638.06,825.41,50.18,25.7,3.66,0.0
20230708:1010,729.1,964.82,57.17,27.18,3.52,0.0
20230708:1110,768.37,1032.73,61.09,28.34,3.38,0.0
20230708:1210,759.86,1025.32,60.6,29.12,3.31,0.0
20230708:1310,703.14,942.88,55.88,29.65,3.24,0.0
20230708:1410,611.19,810.05,48.45,29.6,3.03,0.0
20230708:1510,467.33,614.17,39.65,29.35,2.76,0.0
20230708:1610,193.31,262.65,30.31,29.01,2.34,0.0
20230708:1710,123.03,190.26,20.92,28.5,1.93,0.0
20230708:1810,20.4,40.23,11.86,27.19,1.24,0.0
20230708:1910,0.0,2.62,3.45,25.83,1.31,0.0
20230708:2010,0.0,0.0,0.0,24.15,1.93,0.0
20230708:2110,0.0,0.0,0.0,24.03,0.9,0.0
20230708:2210,0.0,0.0,0.0,21.92,1.79,0.0
20230708:2310,0.0,0.0,0.0,20.64,2.07,0.0
20230709:0010,0.0,0.0,0.0,19.72,2.07,0.0
20230709:0110,0.0,0.0,0.0,19.35,2.07,0.0
20230709:0210,0.0,0.0,0.0,18.94,2.21,0.0
20230709:0310,0.0,0.0,0.0,18.53,2.34,0.0
20230709:0410,2.03,10.49,5.05,18.24,2.28,0.0
20230709:0510,49.34,79.2,13.63,19.19,1.93,0.0
20230709:0610,155.94,227.46,22.8,22.94,1.52,0.0
20230709:0710,323.16,424.5,32.21,24.87,1.86,0.0
20230709:0810,485.66,634.59,41.48,27.07,2.14,0.0
20230709:0910,609.04,811.69,50.07,28.79,2.28,0.0
20230709:1010,698.46,948.51,57.05,29.97,2.48,0.0
20230709:1110,736.29,1010.07,60.97,30.97,2.69,0.0
20230709:1210,701.4,954.15,60.49,31.49,3.1,0.0
20230709:1310,555.23,740.48,55.79,31.06,3.1,0.0
20230709:1410,34.55,60.26,48.38,30.1,3.72,0.0
20230709:1510,35.87,61.19,39.59,26.76,4.07,0.0
20230709:1610,19.0,38.01,30.25,25.68,1.03,0.0
20230709:1710,13.86,30.59,20.86,26.27,1.45,0.0
20230709:1810,39.88,66.46,11.79,26.24,1.52,0.0
20230709:1910,0.0,3.5,3.37,22.82,1.45,0.0
20230709:2010,0.0,0.0,0.0,21.85,0.97,0.0
20230709:2110,0.0,0.0,0.0,20.71,2.21,0.0
20230709:2210,0.0,0.0,0.0,20.11,2.21,0.0
20230709:2310,0.0,0.0,0.0,19.56,1.93,0.0
20230710:0010,0.0,0.0,0.0,19.24,1.66,0.0
20230710:0110,0.0,0.0,0.0,19.03,1.66,0.0
20230710:0210,0.0,0.0,0.0,18.84,1.79,0.0
20230710:0310,0.0,0.0,0.0,18.42,1.93,0.0
20230710:0410,0.0,4.37,4.93,18.1,2.07,0.0
20230710:0510,15.17,31.52,13.52,18.0,2.0,0.0
20230710:0610,38.98,63.04,22.69,17.88,2.69,0.0
20230710:0710,191.24,245.96,32.1,18.47,3.59,0.0
20230710:0810,197.5,254.05,41.37,19.4,3.38,0.0
20230710:0910,327.06,411.76,49.95,20.32,3.24,0.0
20230710:1010,478.08,603.65,56.92,21.42,3.31,0.0
20230710:1110,590.39,754.86,60.85,22.51,3.38,0.0
20230710:1210,618.65,795.51,60.38,23.59,3.59,0.0
20230710:1310,638.19,821.75,55.7,23.97,3.59,0.0
20230710:1410,548.77,700.4,48.3,24.11,3.59,0.0
20230710:1510,458.98,583.78,39.52,24.04,3.52,0.0
20230710:1610,298.58,392.26,30.18,23.82,3.1,0.0
20230710:1710,122.75,194.52,20.79,23.61,2.76,0.0
20230710:1810,35.18,59.46,11.72,23.1,2.07,0.0
20230710:1910,4.74,15.74,3.29,22.2,1.03,0.0
20230710:2010,0.0,0.0,0.0,21.73,0.62,0.0
20230710:2110,0.0,0.0,0.0,18.68,1.66,0.0
20230710:2210,0.0,0.0,0.0,17.6,1.93,0.0
20230710:2310,0.0,0.0,0.0,17.15,2.07,0.0
20230711:0010,0.0,0.0,0.0,16.89,2.21,0.0
20230711:0110,0.0,0.0,0.0,16.72,2.34,0.0
20230711:0210,0.0,0.0,0.0,16.7,2.48,0.0
20230711:0310,0.0,0.0,0.0,16.76,2.62,0.0
20230711:0410,11.0,25.36,4.81,16.91,2.69,0.0
20230711:0510,29.02,55.0,13.4,18.12,2.55,0.0
20230711:0610,157.11,230.18,22.57,20.38,2.55,0.0
20230711:0710,342.27,440.51,31.98,22.16,3.17,0.0
20230711:0810,506.91,643.79,41.25,23.88,3.59,0.0
20230711:0910,634.13,815.27,49.82,25.17,3.93,0.0
20230711:1010,728.68,953.61,56.79,26.3,4.0,0.0
20230711:1110,770.91,1021.54,60.72,27.3,4.0,0.0
20230711:1210,763.31,1014.29,60.26,28.18,4.07,0.0
20230711:1310,651.28,857.16,55.6,28.92,4.07,0.0
20230711:1410,605.64,792.77,48.22,29.41,4.07,0.0
20230711:1510,469.51,611.43,39.45,29.57,4.07,0.0
20230711:1610,294.14,395.61,30.11,29.31,4.0,0.0
20230711:1710,114.55,168.82,20.72,28.43,4.55,0.0
20230711:1810,41.14,68.21,11.64,26.76,2.34,0.0
20230711:1910,4.18,14.87,3.21,24.75,1.59,0.0
20230711:2010,0.0,0.0,0.0,23.46,1.38,0.0
20230711:2110,0.0,0.0,0.0,21.6,1.38,0.0
20230711:2210,0.0,0.0,0.0,20.23,1.59,0.0
20230711:2310,0.0,0.0,0.0,19.38,2.14,0.0
20230712:0010,0.0,0.0,0.0,18.52,2.62,0.0
20230712:0110,0.0,0.0,0.0,18.18,2.83,0.0
20230712:0210,0.0,0.0,0.0,17.73,3.03,0.0
20230712:0310,0.0,0.0,0.0,17.3,3.66,0.0
20230712:0410,0.47,7.0,4.68,16.87,2.97,0.0
20230712:0510,30.53,56.08,13.28,16.69,2.41,0.0
20230712:0610,94.81,131.03,22.45,16.94,3.1,0.0
20230712:0710,232.92,294.0,31.86,16.93,3.66,0.0
20230712:0810,84.66,118.67,41.13,17.91,4.76,0.0
20230712:0910,205.9,262.48,49.7,18.8,5.03,0.0
20230712:1010,218.8,279.05,56.65,19.73,4.97,0.0
20230712:1110,697.36,879.65,60.58,20.64,4.76,0.0
20230712:1210,630.3,793.95,60.13,21.45,4.83,0.0
20230712:1310,439.19,550.32,55.49,21.84,4.83,0.0
20230712:1410,512.81,641.55,48.12,21.92,4.76,0.0
20230712:1510,410.36,513.73,39.36,21.9,4.69,0.0
20230712:1610,262.33,338.51,30.03,21.7,4.55,0.0
20230712:1710,125.4,194.8,20.64,21.2,4.41,0.0
20230712:1810,43.26,69.08,11.56,20.36,3.59,0.0
20230712:1910,0.13,6.12,3.11,19.37,2.97,0.0
20230712:2010,0.0,0.0,0.0,18.32,2.69,0.0
20230712:2110,0.0,0.0,0.0,17.64,2.62,0.0
20230712:2210,0.0,0.0,0.0,17.02,2.76,0.0
20230712:2310,0.0,0.0,0.0,16.35,2.83,0.0
20230713:0010,0.0,0.0,0.0,15.63,2.69,0.0
20230713:0110,0.0,0.0,0.0,14.83,2.55,0.0
20230713:0210,0.0,0.0,0.0,14.26,2.55,0.0
20230713:0310,0.0,0.0,0.0,13.72,2.55,0.0
20230713:0410,9.45,22.74,4.55,13.33,2.62,0.0
20230713:0510,29.38,53.68,13.15,13.8,2.41,0.0
20230713:0610,162.36,226.6,22.32,14.67,3.86,0.0
20230713:0710,331.92,411.65,31.74,15.94,4.69,0.0
20230713:0810,514.09,626.37,41.0,16.78,4.76,0.0
20230713:0910,502.67,615.58,49.56,17.56,4.9,0.0
20230713:1010,608.64,750.98,56.51,18.1,5.03,0.0
20230713:1110,374.22,463.26,60.44,18.5,4.83,0.0
20230713:1210,302.8,378.93,60.0,19.24,4.69,0.0
20230713:1310,388.02,482.78,55.38,19.66,4.48,0.0
20230713:1410,478.74,595.1,48.03,19.97,4.21,0.0
20230713:1510,418.05,520.07,39.28,19.66,3.79,0.0
20230713:1610,251.66,321.98,29.95,19.2,3.66,0.0
20230713:1710,111.66,155.85,20.56,19.1,3.45,0.0
20230713:1810,44.29,69.96,11.46,18.68,2.69,0.0
20230713:1910,1.61,9.62,3.01,17.77,1.59,0.0
20230713:2010,0.0,0.0,0.0,16.95,1.45,0.0
20230713:2110,0.0,0.0,0.0,15.89,0.97,0.0
20230713:2210,0.0,0.0,0.0,16.1,0.34,0.0
20230713:2310,0.0,0.0,0.0,14.05,1.24,0.0
20230714:0010,0.0,0.0,0.0,13.89,1.52,0.0
20230714:0110,0.0,0.0,0.0,13.78,1.72,0.0
20230714:0210,0.0,0.0,0.0,13.55,1.79,0.0
20230714:0310,0.0,0.0,0.0,13.31,1.93,0.0
20230714:0410,9.47,22.74,4.42,12.92,2.0,0.0
20230714:0510,32.83,57.31,13.02,14.06,1.59,0.0
20230714:0610,158.43,228.44,22.2,16.11,1.66,0.0
20230714:0710,277.25,351.7,31.61,17.79,2.07,0.0
20230714:0810,372.82,467.01,40.87,19.25,2.48,0.0
20230714:0910,332.35,418.52,49.43,20.57,3.31,0.0
20230714:1010,457.66,575.2,56.37,21.24,3.79,0.0
20230714:1110,555.38,702.83,60.29,21.58,3.72,0.0
20230714:1210,757.27,982.19,59.86,22.02,3.31,0.0
20230714:1310,645.63,830.84,55.26,22.86,3.17,0.0
20230714:1410,577.59,736.7,47.93,23.71,3.59,0.0
20230714:1510,486.08,617.27,39.18,24.34,4.0,0.0
20230714:1610,259.71,340.25,29.86,24.47,4.07,0.0
20230714:1710,121.34,196.62,20.46,24.28,3.93,0.0
20230714:1810,32.45,55.97,11.37,23.64,3.1,0.0
20230714:1910,3.3,13.12,2.91,22.46,3.1,0.0
20230714:2010,0.0,0.0,0.0,21.31,3.38,0.0
20230714:2110,0.0,0.0,0.0,20.7,3.72,0.0
20230714:2210,0.0,0.0,0.0,20.35,3.93,0.0
20230714:2310,0.0,0.0,0.0,20.19,4.0,0.0
20230715:0010,0.0,0.0,0.0,20.11,4.0,0.0
20230715:0110,0.0,0.0,0.0,19.94,3.93,0.0
20230715:0210,0.0,0.0,0.0,19.62,3.72,0.0
20230715:0310,0.0,0.0,0.0,19.33,3.52,0.0
20230715:0410,6.94,19.24,4.28,19.01,3.31,0.0
20230715:0510,28.4,52.36,12.89,19.42,3.1,0.0
20230715:0610,153.1,228.14,22.07,20.98,2.97,0.0
20230715:0710,117.43,161.34,31.48,23.45,4.76,0.0
20230715:0810,40.3,65.82,40.74,22.35,4.21,0.0
20230715:0910,36.93,61.19,49.29,21.09,3.45,0.0
20230715:1010,94.67,132.58,56.22,21.07,3.31,0.0
20230715:1110,398.78,501.52,60.13,20.3,3.1,0.0
20230715:1210,218.34,281.91,59.71,21.28,3.1,0.0
20230715:1310,176.36,231.78,55.13,22.45,4.21,0.0
20230715:1410,553.97,697.54,47.82,22.03,3.93,0.0
20230715:1510,139.58,187.42,39.09,22.68,4.83,0.0
20230715:1610,80.12,115.89,29.76,23.47,5.03,0.0
20230715:1710,120.97,189.98,20.37,23.59,5.03,0.0
20230715:1810,29.94,52.47,11.27,23.01,4.28,0.0
20230715:1910,3.35,13.12,2.8,20.32,4.07,0.0
20230715:2010,0.0,0.0,0.0,19.71,3.66,0.0
20230715:2110,0.0,0.0,0.0,19.38,3.17,0.0
20230715:2210,0.0,0.0,0.0,19.23,3.72,0.0
20230715:2310,0.0,0.0,0.0,18.73,4.21,0.0
20230716:0010,0.0,0.0,0.0,17.86,4.41,0.0
20230716:0110,0.0,0.0,0.0,16.9,4.0,0.0
20230716:0210,0.0,0.0,0.0,16.47,4.07,0.0
20230716:0310,0.0,0.0,0.0,15.83,4.14,0.0
20230716:0410,8.2,20.99,4.14,15.45,4.0,0.0
20230716:0510,25.29,47.29,12.75,15.36,4.14,0.0
20230716:0610,158.69,229.74,21.93,15.94,4.14,0.0
20230716:0710,339.27,421.0,31.35,16.64,5.66,0.0
20230716:0810,537.15,651.59,40.6,17.6,6.34,0.0
20230716:0910,640.64,783.72,49.14,18.59,6.41,0.0
20230716:1010,665.34,822.07,56.06,19.37,6.21,0.0
20230716:1110,655.84,815.33,59.97,20.49,6.34,0.0
20230716:1210,540.41,671.45,59.56,20.98,6.07,0.0
20230716:1310,507.66,631.35,55.0,21.5,6.0,0.0
20230716:1410,303.63,382.2,47.7,21.51,5.45,0.0
20230716:1510,332.99,417.64,38.98,21.23,4.76,0.0
20230716:1610,248.19,319.69,29.66,21.13,4.55,0.0
20230716:1710,124.72,193.33,20.26,20.62,3.79,0.0
20230716:1810,37.81,62.09,11.16,20.05,3.1,0.0
20230716:1910,3.37,13.12,2.68,19.32,2.28,0.0
20230716:2010,0.0,0.0,0.0,18.42,2.21,0.0
20230716:2110,0.0,0.0,0.0,17.72,2.41,0.0
20230716:2210,0.0,0.0,0.0,17.45,2.34,0.0
20230716:2310,0.0,0.0,0.0,16.95,2.07,0.0
20230717:0010,0.0,0.0,0.0,16.28,2.21,0.0
20230717:0110,0.0,0.0,0.0,15.86,2.21,0.0
20230717:0210,0.0,0.0,0.0,15.37,2.28,0.0
20230717:0310,0.0,0.0,0.0,15.27,2.07,0.0
20230717:0410,6.57,18.36,3.99,14.67,2.0,0.0
20230717:0510,28.8,51.06,12.61,14.89,1.93,0.0
20230717:0610,157.52,227.48,21.79,15.77,2.62,0.0
20230717:0710,328.99,411.32,31.21,16.54,3.59,0.0
20230717:0810,532.69,654.02,40.46,17.31,3.93,0.0
20230717:0910,560.22,690.05,48.99,18.16,4.55,0.0
20230717:1010,477.21,588.79,55.9,18.85,5.03,0.0
20230717:1110,463.92,574.41,59.8,19.13,4.83,0.0
20230717:1210,460.54,571.28,59.4,19.62,4.9,0.0
20230717:1310,467.64,579.18,54.86,19.55,4.9,0.0
20230717:1410,352.84,438.97,47.58,19.94,4.97,0.0
20230717:1510,254.32,320.63,38.87,19.62,4.83,0.0
20230717:1610,87.1,122.38,29.56,19.53,5.03,0.0
20230717:1710,102.06,142.62,20.16,18.94,5.31,0.0
20230717:1810,37.54,61.21,11.04,18.0,3.59,0.0
20230717:1910,1.23,8.74,2.56,16.19,1.59,0.0
20230717:2010,0.0,0.0,0.0,15.58,1.31,0.0
20230717:2110,0.0,0.0,0.0,15.22,1.31,0.0
20230717:2210,0.0,0.0,0.0,14.38,1.24,0.0
20230717:2310,0.0,0.0,0.0,13.37,1.38,0.0
20230718:0010,0.0,0.0,0.0,12.81,1.59,0.0
20230718:0110,0.0,0.0,0.0,12.16,1.79,0.0
20230718:0210,0.0,0.0,0.0,11.59,1.86,0.0
20230718:0310,0.0,0.0,0.0,11.07,1.79,0.0
20230718:0410,7.29,19.24,3.84,10.71,1.86,0.0
20230718:0510,24.28,44.34,12.46,11.77,1.45,0.0
20230718:0610,156.75,228.23,21.65,15.12,1.66,0.0
20230718:0710,351.73,444.35,31.07,16.87,2.21,0.0
20230718:0810,519.79,649.01,40.32,18.35,2.48,0.0
20230718:0910,489.21,612.77,48.84,19.64,2.97,0.0
20230718:1010,517.01,649.67,55.74,20.25,3.38,0.0
20230718:1110,138.2,184.49,59.63,20.3,2.9,0.0
20230718:1210,559.57,711.89,59.24,21.09,2.9,0.0
20230718:1310,674.15,870.28,54.72,21.54,2.62,0.0
20230718:1410,600.89,768.4,47.45,22.23,2.76,0.0
20230718:1510,466.99,593.49,38.75,22.4,2.62,0.0
20230718:1610,305.56,400.83,29.44,22.41,2.14,0.0
20230718:1710,121.15,194.39,20.04,22.31,1.59,0.0
20230718:1810,38.07,62.96,10.92,21.68,0.76,0.0
20230718:1910,2.43,11.37,2.43,20.19,2.07,0.0
20230718:2010,0.0,0.0,0.0,18.44,2.34,0.0
20230718:2110,0.0,0.0,0.0,17.31,2.28,0.0
20230718:2210,0.0,0.0,0.0,16.43,2.14,0.0
20230718:2310,0.0,0.0,0.0,15.62,2.0,0.0
20230719:0010,0.0,0.0,0.0,14.95,1.93,0.0
20230719:0110,0.0,0.0,0.0,14.44,1.86,0.0
20230719:0210,0.0,0.0,0.0,14.27,1.72,0.0
20230719:0310,0.0,0.0,0.0,13.91,1.79,0.0
20230719:0410,6.07,17.49,3.68,13.69,1.72,0.0
20230719:0510,45.43,70.29,12.31,14.37,1.31,0.0
20230719:0610,92.07,128.92,21.51,17.81,0.9,0.0
20230719:0710,175.77,228.85,30.93,18.82,2.14,0.0
20230719:0810,131.86,176.15,40.17,19.2,2.62,0.0
20230719:0910,227.15,290.57,48.68,19.64,2.69,0.0
20230719:1010,198.73,257.13,55.57,20.19,2.83,0.0
20230719:1110,348.37,439.94,59.45,20.67,3.03,0.0
20230719:1210,467.29,589.6,59.07,21.18,3.31,0.0
20230719:1310,321.44,405.7,54.57,21.48,4.28,0.0
20230719:1410,394.68,493.43,47.32,21.3,4.55,0.0
20230719:1510,435.12,541.79,38.63,21.22,4.9,0.0
20230719:1610,190.11,247.16,29.32,20.75,4.9,0.0
20230719:1710,119.71,171.34,19.92,20.02,4.69,0.0
20230719:1810,22.62,41.97,10.8,19.21,4.14,0.0
20230719:1910,0.0,5.25,2.3,18.03,3.59,0.0
20230719:2010,0.0,0.0,0.0,17.1,2.9,0.0
20230719:2110,0.0,0.0,0.0,16.55,2.41,0.0
20230719:2210,0.0,0.0,0.0,15.85,2.48,0.0
20230719:2310,0.0,0.0,0.0,15.49,2.55,0.0
20230720:0010,0.0,0.0,0.0,15.17,2.62,0.0
20230720:0110,0.0,0.0,0.0,14.79,2.62,0.0
20230720:0210,0.0,0.0,0.0,14.24,2.55,0.0
20230720:0310,0.0,0.0,0.0,13.77,2.9,0.0
20230720:0410,0.0,2.62,3.53,13.61,3.17,0.0
20230720:0510,28.69,48.97,12.16,13.49,3.17,0.0
20230720:0610,146.48,199.08,21.36,13.65,3.52,0.0
20230720:0710,264.07,330.6,30.78,14.58,2.0,0.0
20230720:0810,404.6,497.78,40.02,15.02,2.07,0.0
20230720:0910,308.41,382.57,48.52,15.62,2.21,0.0
20230720:1010,577.55,723.26,55.39,16.16,2.07,0.0
20230720:1110,358.48,449.15,59.27,17.41,1.79,0.0
20230720:1210,245.45,312.15,58.89,18.05,1.66,0.0
20230720:1310,380.56,479.72,54.41,19.09,1.86,0.0
20230720:1410,114.57,155.75,47.18,19.43,2.28,0.0
20230720:1510,425.48,533.36,38.5,19.49,2.48,0.0
20230720:1610,279.45,359.45,29.2,19.3,2.48,0.0
20230720:1710,123.7,180.14,19.79,18.68,2.0,0.0
20230720:1810,34.0,56.84,10.67,18.22,1.38,0.0
20230720:1910,1.21,8.74,2.16,17.99,1.03,0.0
20230720:2010,0.0,0.0,0.0,16.84,0.9,0.0
20230720:2110,0.0,0.0,0.0,15.84,0.97,0.0
20230720:2210,0.0,0.0,0.0,15.5,0.76,0.0
20230720:2310,0.0,0.0,0.0,15.78,0.55,0.0
20230721:0010,0.0,0.0,0.0,15.64,0.34,0.0
20230721:0110,0.0,0.0,0.0,15.33,0.41,0.0
20230721:0210,0.0,0.0,0.0,14.9,0.34,0.0
20230721:0310,0.0,0.0,0.0,14.76,0.48,0.0
20230721:0410,0.0,1.75,3.37,14.53,0.34,0.0
20230721:0510,27.81,48.1,12.01,14.34,0.21,0.0
20230721:0610,58.33,86.22,21.21,14.65,0.28,0.0
20230721:0710,231.73,295.29,30.63,16.18,0.9,0.0
20230721:0810,280.98,353.2,39.86,17.18,1.52,0.0
20230721:0910,479.7,599.99,48.36,18.4,2.34,0.0
20230721:1010,397.49,498.56,55.22,19.06,2.48,0.0
20230721:1110,447.06,562.57,59.08,19.44,2.48,0.0
20230721:1210,118.95,160.39,58.71,18.92,3.1,0.0
20230721:1310,142.84,187.28,54.24,17.17,3.38,0.0
20230721:1410,596.05,743.1,47.03,17.82,2.97,0.0
20230721:1510,34.67,57.48,38.37,17.78,4.41,0.0
20230721:1610,147.11,190.93,29.07,15.77,4.83,0.0
20230721:1710,100.92,139.68,19.66,15.37,3.59,0.0
20230721:1810,37.99,61.21,10.53,15.57,3.03,0.0
20230721:1910,0.0,0.87,2.01,15.27,2.9,0.0
20230721:2010,0.0,0.0,0.0,14.74,2.62,0.0
20230721:2110,0.0,0.0,0.0,13.99,2.48,0.0
20230721:2210,0.0,0.0,0.0,13.35,2.14,0.0
20230721:2310,0.0,0.0,0.0,12.74,1.86,0.0
20230722:0010,0.0,0.0,0.0,12.1,1.93,0.0
20230722:0110,0.0,0.0,0.0,11.53,2.07,0.0
20230722:0210,0.0,0.0,0.0,11.18,2.07,0.0
20230722:0310,0.0,0.0,0.0,10.99,2.07,0.0
20230722:0410,3.07,12.24,3.2,11.17,2.0,0.0
20230722:0510,47.96,72.58,11.85,11.84,1.79,0.0
20230722:0610,151.74,213.62,21.06,13.33,2.07,0.0
20230722:0710,302.14,377.65,30.48,14.98,2.34,0.0
20230722:0810,436.35,535.74,39.71,16.17,3.03,0.0
20230722:0910,291.24,362.35,48.19,17.55,4.0,0.0
20230722:1010,373.03,462.0,55.03,18.29,4.21,0.0
20230722:1110,594.67,743.79,58.88,18.65,3.66,0.0
20230722:1210,527.88,660.07,58.52,18.76,3.24,0.0
20230722:1310,552.27,688.01,54.07,19.58,4.21,0.0
20230722:1410,595.39,739.78,46.88,19.77,4.48,0.0
20230722:1510,478.08,592.17,38.22,19.67,4.34,0.0
20230722:1610,290.71,371.9,28.93,19.48,4.14,0.0
20230722:1710,115.02,163.42,19.52,19.08,3.86,0.0
20230722:1810,31.31,53.34,10.38,18.41,2.97,0.0
20230722:1910,0.0,0.87,1.86,17.9,2.55,0.0
20230722:2010,0.0,0.0,0.0,16.75,1.79,0.0
20230722:2110,0.0,0.0,0.0,15.98,0.9,0.0
20230722:2210,0.0,0.0,0.0,15.73,1.45,0.0
20230722:2310,0.0,0.0,0.0,15.5,1.72,0.0
20230723:0010,0.0,0.0,0.0,15.39,2.14,0.0
20230723:0110,0.0,0.0,0.0,15.47,2.76,0.0
20230723:0210,0.0,0.0,0.0,15.59,3.24,0.0
20230723:0310,0.0,0.0,0.0,15.37,3.59,0.0
20230723:0410,0.0,3.5,3.03,15.24,4.0,0.0
20230723:0510,45.04,69.96,11.69,15.6,4.0,0.0
20230723:0610,137.62,190.48,20.9,16.38,3.59,0.0
20230723:0710,186.83,238.91,30.32,17.22,4.69,0.0
20230723:0810,130.57,172.44,39.55,17.34,5.31,0.0
20230723:0910,83.55,116.82,48.02,16.92,5.17,0.0
20230723:1010,162.02,207.67,54.85,15.44,4.97,0.0
20230723:1110,190.25,240.12,58.68,15.03,4.9,0.0
20230723:1210,134.29,175.22,58.32,15.05,4.62,0.0
20230723:1310,118.11,156.68,53.9,15.41,4.48,0.0
20230723:1410,73.53,104.76,46.72,16.49,4.28,0.0
20230723:1510,76.27,108.47,38.08,17.47,4.28,0.0
20230723:1610,93.63,129.79,28.79,18.61,4.28,0.0
20230723:1710,39.57,63.97,19.38,18.87,4.48,0.0
20230723:1810,34.61,57.71,10.24,19.15,4.48,0.0
20230723:1910,0.0,5.25,1.7,17.2,3.79,0.0
20230723:2010,0.0,0.0,0.0,16.66,3.72,0.0
20230723:2110,0.0,0.0,0.0,16.21,3.79,0.0
20230723:2210,0.0,0.0,0.0,16.29,3.86,0.0
20230723:2310,0.0,0.0,0.0,16.35,3.45,0.0
20230724:0010,0.0,0.0,0.0,16.37,3.1,0.0
20230724:0110,0.0,0.0,0.0,16.05,2.97,0.0
20230724:0210,0.0,0.0,0.0,15.88,2.97,0.0
20230724:0310,0.0,0.0,0.0,15.68,2.97,0.0
20230724:0410,1.65,9.62,2.86,15.4,2.97,0.0
20230724:0510,22.38,41.1,11.53,15.64,3.03,0.0
20230724:0610,42.27,66.75,20.75,16.31,3.03,0.0
20230724:0710,111.41,150.27,30.16,17.33,3.66,0.0
20230724:0810,251.16,315.43,39.38,18.34,4.21,0.0
20230724:0910,432.02,533.88,47.84,18.8,4.21,0.0
20230724:1010,285.46,358.29,54.65,19.34,4.41,0.0
20230724:1110,392.77,486.05,58.48,18.8,4.83,0.0
20230724:1210,233.16,295.72,58.12,19.6,5.31,0.0
20230724:1310,41.75,66.75,53.71,18.99,4.76,0.0
20230724:1410,333.33,409.2,46.56,17.27,5.72,0.0
20230724:1510,133.95,177.25,37.92,18.36,4.9,0.0
20230724:1610,297.11,374.81,28.64,17.09,5.24,0.0
20230724:1710,88.13,123.83,19.23,16.52,4.21,0.0
20230724:1810,28.97,49.84,10.08,16.28,4.41,0.0
20230724:1910,0.0,3.5,1.53,15.37,3.45,0.0
20230724:2010,0.0,0.0,0.0,14.85,3.24,0.0
20230724:2110,0.0,0.0,0.0,13.94,2.97,0.0
20230724:2210,0.0,0.0,0.0,13.77,2.28,0.0
20230724:2310,0.0,0.0,0.0,13.71,1.93,0.0
20230725:0010,0.0,0.0,0.0,13.43,1.45,0.0
20230725:0110,0.0,0.0,0.0,13.29,1.31,0.0
20230725:0210,0.0,0.0,0.0,12.97,1.52,0.0
